Variant_category	pval_bin	Proportion	Type
TSS	1e-07~1e-05	0.0756302521008403	aseOutliers
BND	nonOutlier	0.00180328078990932	aseOutliers
CNV	nonOutlier	0.00293908674059858	aseOutliers
coding	nonOutlier	0.025220294165043	aseOutliers
conserved_noncoding	nonOutlier	0.090400265158729	aseOutliers
DEL	nonOutlier	0.00739624382883345	aseOutliers
DUP	nonOutlier	0.00147778380041312	aseOutliers
frameshift	nonOutlier	0.00038043319025505	aseOutliers
INV	nonOutlier	6.5465639237632e-05	aseOutliers
no_variant	nonOutlier	0.306827837271649	aseOutliers
other_noncoding	nonOutlier	0.519585213372204	aseOutliers
splice_acceptor_variant	nonOutlier	0.00023210544820615	aseOutliers
splice_donor_variant	nonOutlier	0.000292535269040887	aseOutliers
splice_region_variant	nonOutlier	0.00609242466415669	aseOutliers
stop	nonOutlier	0.000501292831924525	aseOutliers
TE	nonOutlier	0.00927735090315114	aseOutliers
TSS	nonOutlier	0.0275083869266492	aseOutliers
BND	0~1e-07	0.00422832980972516	sOutliers
CNV	0~1e-07	0.00634249471458774	sOutliers
coding	0~1e-07	0.0486257928118393	sOutliers
conserved_noncoding	0~1e-07	0.0761099365750529	sOutliers
DEL	0~1e-07	0.0486257928118393	sOutliers
DUP	0~1e-07	0.00422832980972516	sOutliers
no_variant	0~1e-07	0.0761099365750529	sOutliers
other_noncoding	0~1e-07	0.247357293868922	sOutliers
splice_acceptor_variant	0~1e-07	0.0972515856236787	sOutliers
splice_donor_variant	0~1e-07	0.120507399577167	sOutliers
splice_region_variant	0~1e-07	0.234672304439746	sOutliers
stop	0~1e-07	0.00422832980972516	sOutliers
TE	0~1e-07	0.00422832980972516	sOutliers
TSS	0~1e-07	0.0274841437632135	sOutliers
BND	1e-02~5e-02	0.00106473594548552	sOutliers
CNV	1e-02~5e-02	0.00628194207836457	sOutliers
coding	1e-02~5e-02	0.0241695059625213	sOutliers
conserved_noncoding	1e-02~5e-02	0.035881601362862	sOutliers
DEL	1e-02~5e-02	0.00628194207836457	sOutliers
DUP	1e-02~5e-02	0.00149063032367973	sOutliers
frameshift	1e-02~5e-02	0.00159710391822828	sOutliers
no_variant	1e-02~5e-02	0.369356899488927	sOutliers
other_noncoding	1e-02~5e-02	0.501810051107325	sOutliers
splice_acceptor_variant	1e-02~5e-02	0.00191652470187394	sOutliers
splice_donor_variant	1e-02~5e-02	0.00276831345826235	sOutliers
splice_region_variant	1e-02~5e-02	0.0136286201022147	sOutliers
stop	1e-02~5e-02	0.00138415672913118	sOutliers
TE	1e-02~5e-02	0.00830494037478705	sOutliers
TSS	1e-02~5e-02	0.0240630323679727	sOutliers
BND	1e-03~1e-02	0.00155581485803189	sOutliers
CNV	1e-03~1e-02	0.00700116686114352	sOutliers
coding	1e-03~1e-02	0.0322831583041618	sOutliers
conserved_noncoding	1e-03~1e-02	0.0486192143134967	sOutliers
DEL	1e-03~1e-02	0.0128354725787631	sOutliers
DUP	1e-03~1e-02	0.00194476857253987	sOutliers
frameshift	1e-03~1e-02	0.00388953714507974	sOutliers
no_variant	1e-03~1e-02	0.367561260210035	sOutliers
other_noncoding	1e-03~1e-02	0.446129910540646	sOutliers
splice_acceptor_variant	1e-03~1e-02	0.00544535200311163	sOutliers
splice_donor_variant	1e-03~1e-02	0.00933488914819136	sOutliers
splice_region_variant	1e-03~1e-02	0.02878257487359	sOutliers
stop	1e-03~1e-02	0.00350058343057176	sOutliers
TE	1e-03~1e-02	0.00894593543368339	sOutliers
TSS	1e-03~1e-02	0.0221703617269545	sOutliers
BND	1e-04~1e-03	0.0033112582781457	sOutliers
CNV	1e-04~1e-03	0.0033112582781457	sOutliers
coding	1e-04~1e-03	0.0513245033112583	sOutliers
conserved_noncoding	1e-04~1e-03	0.0645695364238411	sOutliers
DEL	1e-04~1e-03	0.0115894039735099	sOutliers
DUP	1e-04~1e-03	0.0033112582781457	sOutliers
frameshift	1e-04~1e-03	0.00827814569536424	sOutliers
no_variant	1e-04~1e-03	0.248344370860927	sOutliers
other_noncoding	1e-04~1e-03	0.420529801324503	sOutliers
splice_acceptor_variant	1e-04~1e-03	0.0182119205298013	sOutliers
splice_donor_variant	1e-04~1e-03	0.0231788079470199	sOutliers
splice_region_variant	1e-04~1e-03	0.0860927152317881	sOutliers
stop	1e-04~1e-03	0.0033112582781457	sOutliers
TE	1e-04~1e-03	0.00993377483443709	sOutliers
TSS	1e-04~1e-03	0.0447019867549669	sOutliers
CNV	1e-05~1e-04	0.00320512820512821	sOutliers
coding	1e-05~1e-04	0.0897435897435897	sOutliers
conserved_noncoding	1e-05~1e-04	0.0769230769230769	sOutliers
DEL	1e-05~1e-04	0.016025641025641	sOutliers
DUP	1e-05~1e-04	0.00641025641025641	sOutliers
no_variant	1e-05~1e-04	0.256410256410256	sOutliers
other_noncoding	1e-05~1e-04	0.310897435897436	sOutliers
splice_acceptor_variant	1e-05~1e-04	0.0384615384615385	sOutliers
splice_donor_variant	1e-05~1e-04	0.0544871794871795	sOutliers
splice_region_variant	1e-05~1e-04	0.115384615384615	sOutliers
TE	1e-05~1e-04	0.00320512820512821	sOutliers
TSS	1e-05~1e-04	0.0288461538461538	sOutliers
CNV	1e-07~1e-05	0.00537634408602151	sOutliers
